Number One, Number Two, Their GCD, Time Spent (Milliseconds)
 255       , 321       , 3        , 0.012                    
 714       , 817       , 1        , 0.034999999999999996     
 194       , 749       , 1        , 0.01                     
 576       , 459       , 9        , 0.023                    
 753       , 894       , 3        , 0.037                    
 957       , 931       , 1        , 0.046                    
 164       , 136       , 4        , 0.007                    
 539       , 218       , 1        , 0.01                     
 741       , 55        , 1        , 0.004                    
 542       , 180       , 2        , 0.009000000000000001     
 946       , 355       , 1        , 0.017                    
 837       , 211       , 1        , 0.01                     
 40        , 569       , 1        , 0.003                    
 246       , 951       , 3        , 0.011                    
 935       , 808       , 1        , 0.04                     
 66        , 914       , 2        , 0.004                    
 88        , 763       , 1        , 0.004                    
 265       , 268       , 1        , 0.012                    
 153       , 63        , 9        , 0.004                    
 338       , 83        , 1        , 0.005                    
 424       , 949       , 1        , 0.020999999999999998     
 328       , 15        , 1        , 0.002                    
 711       , 326       , 1        , 0.016                    
 986       , 444       , 2        , 0.020999999999999998     
 306       , 605       , 1        , 0.015000000000000001     
 477       , 662       , 1        , 0.023                    
 597       , 985       , 1        , 0.029                    
 114       , 484       , 2        , 0.006                    
 912       , 158       , 2        , 0.008                    
 972       , 970       , 2        , 0.048                    
 385       , 347       , 1        , 0.016                    
 770       , 748       , 22       , 0.034999999999999996     
 978       , 6         , 6        , 0.001                    
 384       , 343       , 1        , 0.016                    
 451       , 176       , 11       , 0.008                    
 396       , 298       , 2        , 0.015000000000000001     
 395       , 137       , 1        , 0.006                    
 99        , 276       , 3        , 0.005                    
 502       , 367       , 1        , 0.018000000000000002     
 825       , 45        , 15       , 0.002                    
 208       , 268       , 4        , 0.01                     
 191       , 942       , 1        , 0.009000000000000001     
 886       , 553       , 1        , 0.026                    
 661       , 13        , 1        , 0.001                    
 16        , 545       , 1        , 0.001                    
 709       , 879       , 1        , 0.034                    
 230       , 171       , 1        , 0.01                     
 993       , 1000      , 1        , 0.049                    
 39        , 25        , 1        , 0.002                    
 953       , 800       , 1        , 0.039                    
 863       , 640       , 1        , 0.030000000000000002     
 701       , 171       , 1        , 0.008                    
 424       , 399       , 1        , 0.019                    
 213       , 917       , 1        , 0.01                     
 248       , 102       , 2        , 0.006                    
 6         , 661       , 1        , 0.001                    
 5         , 957       , 1        , 0.001                    
 458       , 179       , 1        , 0.009000000000000001     
 872       , 540       , 4        , 0.026                    
 26        , 516       , 2        , 0.002                    
 424       , 160       , 8        , 0.008                    
 304       , 906       , 2        , 0.015000000000000001     
 243       , 351       , 27       , 0.011                    
 713       , 128       , 1        , 0.006                    
 6         , 954       , 6        , 0.001                    
 404       , 35        , 1        , 0.003                    
 283       , 448       , 1        , 0.013                    
 104       , 793       , 13       , 0.005                    
 225       , 240       , 15       , 0.011                    
 241       , 585       , 1        , 0.011                    
 645       , 997       , 1        , 0.032                    
 545       , 30        , 5        , 0.002                    
 521       , 689       , 1        , 0.025                    
 335       , 369       , 1        , 0.015000000000000001     
 35        , 535       , 5        , 0.002                    
 325       , 868       , 1        , 0.016                    
 259       , 155       , 1        , 0.008                    
 781       , 780       , 1        , 0.038                    
 679       , 806       , 1        , 0.033                    
 547       , 575       , 1        , 0.027                    
 259       , 132       , 1        , 0.007                    
 605       , 32        , 1        , 0.002                    
 304       , 345       , 1        , 0.014                    
 875       , 35        , 35       , 0.001                    
 911       , 215       , 1        , 0.01                     
 358       , 618       , 2        , 0.017                    
 707       , 381       , 1        , 0.018000000000000002     
 420       , 501       , 3        , 0.020999999999999998     
 56        , 353       , 1        , 0.004                    
 266       , 237       , 1        , 0.011                    
 866       , 440       , 2        , 0.020999999999999998     
 163       , 708       , 1        , 0.007                    
 53        , 482       , 1        , 0.003                    
 487       , 472       , 1        , 0.023                    
