Number One, Number Two, Their GCD, Time Spent (Milliseconds)
 597       , 455       , 1        , 0.04                     
 412       , 639       , 1        , 0.036000000000000004     
 529       , 301       , 1        , 0.025                    
 408       , 296       , 8        , 0.026                    
 817       , 757       , 1        , 0.06899999999999999      
 576       , 570       , 6        , 0.052                    
 279       , 488       , 1        , 0.026                    
 375       , 729       , 3        , 0.033                    
 861       , 768       , 3        , 0.06999999999999999      
 299       , 492       , 1        , 0.026                    
 734       , 304       , 2        , 0.026                    
 841       , 374       , 1        , 0.032                    
 908       , 597       , 1        , 0.055                    
 917       , 591       , 1        , 0.053                    
 247       , 327       , 1        , 0.020999999999999998     
 109       , 353       , 1        , 0.01                     
 748       , 148       , 4        , 0.014                    
 786       , 516       , 6        , 0.046                    
 321       , 97        , 1        , 0.009000000000000001     
 72        , 119       , 1        , 0.008                    
 753       , 204       , 3        , 0.017                    
 185       , 814       , 37       , 0.016                    
 295       , 996       , 1        , 0.023                    
 164       , 788       , 4        , 0.015000000000000001     
 381       , 952       , 1        , 0.033                    
 555       , 659       , 1        , 0.05                     
 725       , 391       , 1        , 0.033                    
 396       , 894       , 6        , 0.034999999999999996     
 373       , 844       , 1        , 0.032                    
 337       , 680       , 1        , 0.028                    
 66        , 403       , 1        , 0.009000000000000001     
 586       , 774       , 2        , 0.053                    
 244       , 758       , 2        , 0.020999999999999998     
 5         , 711       , 1        , 0.002                    
 872       , 52        , 4        , 0.006                    
 33        , 628       , 1        , 0.004                    
 292       , 85        , 1        , 0.008                    
 191       , 63        , 1        , 0.007                    
 28        , 536       , 4        , 0.005                    
 259       , 738       , 1        , 0.020999999999999998     
 51        , 391       , 17       , 0.005                    
 540       , 314       , 2        , 0.029                    
 340       , 458       , 2        , 0.031                    
 78        , 815       , 1        , 0.008                    
 176       , 305       , 1        , 0.016                    
 794       , 153       , 1        , 0.014                    
 982       , 856       , 2        , 0.078                    
 162       , 672       , 6        , 0.016                    
 545       , 224       , 1        , 0.018000000000000002     
 328       , 252       , 4        , 0.020999999999999998     
 790       , 83        , 1        , 0.008                    
 169       , 990       , 1        , 0.015000000000000001     
 93        , 862       , 1        , 0.008                    
 288       , 619       , 1        , 0.026                    
 840       , 713       , 1        , 0.066                    
 935       , 754       , 1        , 0.068                    
 333       , 509       , 1        , 0.029                    
 312       , 615       , 3        , 0.029                    
 296       , 557       , 1        , 0.025                    
